acceleration,car_name,cylinders,displacement,horsepower,model_year,mpg,origin,weight
14.0,chevrolet impala,8,400.0,150.0,73,11.0,1,4997.
12.5,ford country,8,400.0,167.0,73,12.0,1,4906.
13.0,plymouth custom suburb,8,360.0,170.0,73,13.0,1,4654.
12.5,oldsmobile vista cruiser,8,350.0,180.0,73,12.0,1,4499.
15.0,amc gremlin,6,232.0,100.0,73,18.0,1,2789.
19.0,toyota carina,4,97.00,88.00,73,20.0,3,2279.
19.5,chevrolet vega,4,140.0,72.00,73,21.0,1,2401.
16.5,datsun 610,4,108.0,94.00,73,22.0,3,2379.
13.5,maxda rx3,3,70.00,90.00,73,18.0,3,2124.
18.5,ford pinto,4,122.0,85.00,73,19.0,1,2310.
14.0,mercury capri v6,6,155.0,107.0,73,21.0,1,2472.
15.5,fiat 124 sport coupe,4,98.00,90.00,73,26.0,2,2265.
13.0,chevrolet monte carlo s,8,350.0,145.0,73,15.0,1,4082.
9.50,pontiac grand prix,8,400.0,230.0,73,16.0,1,4278.
19.5,fiat 128,4,68.00,49.00,73,29.0,2,1867.
15.5,opel manta,4,116.0,75.00,73,24.0,2,2158.
14.0,audi 100ls,4,114.0,91.00,73,20.0,2,2582.
15.5,volvo 144ea,4,121.0,112.0,73,19.0,2,2868.
11.0,dodge dart custom,8,318.0,150.0,73,15.0,1,3399.
14.0,saab 99le,4,121.0,110.0,73,24.0,2,2660.
13.5,toyota mark ii,6,156.0,122.0,73,20.0,3,2807.
11.0,oldsmobile omega,8,350.0,180.0,73,11.0,1,3664.
16.5,plymouth duster,6,198.0,95.00,74,20.0,1,3102.
17.0,ford maverick,6,200.0,,74,21.0,1,2875.
16.0,amc hornet,6,232.0,100.0,74,19.0,1,2901.
17.0,chevrolet nova,6,250.0,100.0,74,15.0,1,3336.
19.0,datsun b210,4,79.00,67.00,74,31.0,3,1950.
16.5,ford pinto,4,122.0,80.00,74,26.0,1,2451.
21.0,toyota corolla 1200,4,71.00,65.00,74,32.0,3,1836.
17.0,chevrolet vega,4,140.0,75.00,74,25.0,1,2542.
17.0,chevrolet chevelle malibu classic,6,250.0,100.0,74,16.0,1,3781.
18.0,amc matador,6,258.0,110.0,74,16.0,1,3632.
16.5,plymouth satellite sebring,6,225.0,105.0,74,18.0,1,3613.
14.0,ford gran torino,8,302.0,140.0,74,16.0,1,4141.
14.5,buick century luxus (sw),8,350.0,150.0,74,13.0,1,4699.
13.5,dodge coronet custom (sw),8,318.0,150.0,74,14.0,1,4457.
16.0,ford gran torino (sw),8,302.0,140.0,74,14.0,1,4638.
15.5,amc matador (sw),8,304.0,150.0,74,14.0,1,4257.
16.5,audi fox,4,98.00,83.00,74,29.0,2,2219.
15.5,volkswagen dasher,4,79.00,67.00,74,26.0,2,1963.
14.5,opel manta,4,97.00,78.00,74,26.0,2,2300.
16.5,toyota corona,4,76.00,52.00,74,31.0,3,1649.
19.0,datsun 710,4,83.00,61.00,74,32.0,3,2003.
14.5,dodge colt,4,90.00,75.00,74,28.0,1,2125.
15.5,fiat 128,4,90.00,75.00,74,24.0,2,2108.
14.0,fiat 124 tc,4,116.0,75.00,74,26.0,2,2246.
15.0,honda civic,4,120.0,97.00,74,24.0,3,2489.
15.5,subaru,4,108.0,93.00,74,26.0,3,2391.
16.0,fiat x1.9,4,79.00,67.00,74,31.0,2,2000.
16.0,plymouth valiant custom,6,225.0,95.00,75,19.0,1,3264.
16.0,chevrolet nova,6,250.0,105.0,75,18.0,1,3459.
21.0,mercury monarch,6,250.0,72.00,75,15.0,1,3432.
19.5,ford maverick,6,250.0,72.00,75,15.0,1,3158.
11.5,pontiac catalina,8,400.0,170.0,75,16.0,1,4668.
14.0,chevrolet bel air,8,350.0,145.0,75,15.0,1,4440.
14.5,plymouth grand fury,8,318.0,150.0,75,16.0,1,4498.
13.5,ford ltd,8,351.0,148.0,75,14.0,1,4657.
21.0,buick century,6,231.0,110.0,75,17.0,1,3907.
18.5,chevroelt chevelle malibu,6,250.0,105.0,75,16.0,1,3897.
19.0,amc matador,6,258.0,110.0,75,15.0,1,3730.
19.0,plymouth fury,6,225.0,95.00,75,18.0,1,3785.
15.0,buick skyhawk,6,231.0,110.0,75,21.0,1,3039.
13.5,chevrolet monza 2+2,8,262.0,110.0,75,20.0,1,3221.
12.0,ford mustang ii,8,302.0,129.0,75,13.0,1,3169.
16.0,toyota corolla,4,97.00,75.00,75,29.0,3,2171.
17.0,ford pinto,4,140.0,83.00,75,23.0,1,2639.
16.0,amc gremlin,6,232.0,100.0,75,20.0,1,2914.
18.5,pontiac astro,4,140.0,78.00,75,23.0,1,2592.
13.5,toyota corona,4,134.0,96.00,75,24.0,3,2702.
16.5,volkswagen dasher,4,90.00,71.00,75,25.0,2,2223.
17.0,datsun 710,4,119.0,97.00,75,24.0,3,2545.
14.5,ford pinto,6,171.0,97.00,75,18.0,1,2984.
14.0,volkswagen rabbit,4,90.00,70.00,75,29.0,2,1937.
17.0,amc pacer,6,232.0,90.00,75,19.0,1,3211.
15.0,audi 100ls,4,115.0,95.00,75,23.0,2,2694.
17.0,peugeot 504,4,120.0,88.00,75,23.0,2,2957.
14.5,volvo 244dl,4,121.0,98.00,75,22.0,2,2945.
13.5,saab 99le,4,121.0,115.0,75,25.0,2,2671.
17.5,honda civic cvcc,4,91.00,53.00,75,33.0,3,1795.
15.5,fiat 131,4,107.0,86.00,76,28.0,2,2464.
16.9,opel 1900,4,116.0,81.00,76,25.0,2,2220.
14.9,capri ii,4,140.0,92.00,76,25.0,1,2572.
17.7,dodge colt,4,98.00,79.00,76,26.0,1,2255.
15.3,renault 12tl,4,101.0,83.00,76,27.0,2,2202.
13.0,chevrolet chevelle malibu classic,8,305.0,140.0,76,17.5,1,4215.
13.0,dodge coronet brougham,8,318.0,150.0,76,16.0,1,4190.
13.9,amc matador,8,304.0,120.0,76,15.5,1,3962.
12.8,ford gran torino,8,351.0,152.0,76,14.5,1,4215.
15.4,plymouth valiant,6,225.0,100.0,76,22.0,1,3233.
14.5,chevrolet nova,6,250.0,105.0,76,22.0,1,3353.
17.6,ford maverick,6,200.0,81.00,76,24.0,1,3012.
17.6,amc hornet,6,232.0,90.00,76,22.5,1,3085.
22.2,chevrolet chevette,4,85.00,52.00,76,29.0,1,2035.
22.1,chevrolet woody,4,98.00,60.00,76,24.5,1,2164.
14.2,vw rabbit,4,90.00,70.00,76,29.0,2,1937.
17.4,honda civic,4,91.00,53.00,76,33.0,3,1795.
17.7,dodge aspen se,6,225.0,100.0,76,20.0,1,3651.
21.0,ford granada ghia,6,250.0,78.00,76,18.0,1,3574.
16.2,pontiac ventura sj,6,250.0,110.0,76,18.5,1,3645.
17.8,amc pacer d/l,6,258.0,95.00,76,17.5,1,3193.
12.2,volkswagen rabbit,4,97.00,71.00,76,29.5,2,1825.
17.0,datsun b-210,4,85.00,70.00,76,32.0,3,1990.
16.4,toyota corolla,4,97.00,75.00,76,28.0,3,2155.
13.6,ford pinto,4,140.0,72.00,76,26.5,1,2565.
15.7,volvo 245,4,130.0,102.0,76,20.0,2,3150.
13.2,plymouth volare premier v8,8,318.0,150.0,76,13.0,1,3940.
21.9,peugeot 504,4,120.0,88.00,76,19.0,2,3270.
15.5,toyota mark ii,6,156.0,108.0,76,19.0,3,2930.
16.7,mercedes-benz 280s,6,168.0,120.0,76,16.5,2,3820.
12.1,cadillac seville,8,350.0,180.0,76,16.5,1,4380.
12.0,chevy c10,8,350.0,145.0,76,13.0,1,4055.
15.0,ford f108,8,302.0,130.0,76,13.0,1,3870.
14.0,dodge d100,8,318.0,150.0,76,13.0,1,3755.
18.5,honda accord cvcc,4,98.00,68.00,77,31.5,3,2045.
14.8,buick opel isuzu deluxe,4,111.0,80.00,77,30.0,1,2155.
18.6,renault 5 gtl,4,79.00,58.00,77,36.0,2,1825.
15.5,plymouth arrow gs,4,122.0,96.00,77,25.5,1,2300.
16.8,datsun f-10 hatchback,4,85.00,70.00,77,33.5,3,1945.
12.5,chevrolet caprice classic,8,305.0,145.0,77,17.5,1,3880.
19.0,oldsmobile cutlass supreme,8,260.0,110.0,77,17.0,1,4060.
13.7,dodge monaco brougham,8,318.0,145.0,77,15.5,1,4140.
14.9,mercury cougar brougham,8,302.0,130.0,77,15.0,1,4295.
16.4,chevrolet concours,6,250.0,110.0,77,17.5,1,3520.
16.9,buick skylark,6,231.0,105.0,77,20.5,1,3425.
17.7,plymouth volare custom,6,225.0,100.0,77,19.0,1,3630.
19.0,ford granada,6,250.0,98.00,77,18.5,1,3525.
11.1,pontiac grand prix lj,8,400.0,180.0,77,16.0,1,4220.
11.4,chevrolet monte carlo landau,8,350.0,170.0,77,15.5,1,4165.
12.2,chrysler cordoba,8,400.0,190.0,77,15.5,1,4325.
14.5,ford thunderbird,8,351.0,149.0,77,16.0,1,4335.
14.5,volkswagen rabbit custom,4,97.00,78.00,77,29.0,2,1940.
16.0,pontiac sunbird coupe,4,151.0,88.00,77,24.5,1,2740.
18.2,toyota corolla liftback,4,97.00,75.00,77,26.0,3,2265.
15.8,ford mustang ii 2+2,4,140.0,89.00,77,25.5,1,2755.
17.0,chevrolet chevette,4,98.00,63.00,77,30.5,1,2051.
15.9,dodge colt m/m,4,98.00,83.00,77,33.5,1,2075.
16.4,subaru dl,4,97.00,67.00,77,30.0,3,1985.
14.1,volkswagen dasher,4,97.00,78.00,77,30.5,2,2190.
14.5,datsun 810,6,146.0,97.00,77,22.0,3,2815.
12.8,bmw 320i,4,121.0,110.0,77,21.5,2,2600.
13.5,mazda rx-4,3,80.00,110.0,77,21.5,3,2720.
21.5,volkswagen rabbit custom diesel,4,90.00,48.00,78,43.1,2,1985.
14.4,ford fiesta,4,98.00,66.00,78,36.1,1,1800.
19.4,mazda glc deluxe,4,78.00,52.00,78,32.8,3,1985.
18.6,datsun b210 gx,4,85.00,70.00,78,39.4,3,2070.
16.4,honda civic cvcc,4,91.00,60.00,78,36.1,3,1800.
15.5,oldsmobile cutlass salon brougham,8,260.0,110.0,78,19.9,1,3365.
13.2,dodge diplomat,8,318.0,140.0,78,19.4,1,3735.
12.8,mercury monarch ghia,8,302.0,139.0,78,20.2,1,3570.
19.2,pontiac phoenix lj,6,231.0,105.0,78,19.2,1,3535.
18.2,chevrolet malibu,6,200.0,95.00,78,20.5,1,3155.
15.8,ford fairmont (auto),6,200.0,85.00,78,20.2,1,2965.
15.4,ford fairmont (man),4,140.0,88.00,78,25.1,1,2720.
17.2,plymouth volare,6,225.0,100.0,78,20.5,1,3430.
17.2,amc concord,6,232.0,90.00,78,19.4,1,3210.
15.8,buick century special,6,231.0,105.0,78,20.6,1,3380.
16.7,mercury zephyr,6,200.0,85.00,78,20.8,1,3070.
18.7,dodge aspen,6,225.0,110.0,78,18.6,1,3620.
15.1,amc concord d/l,6,258.0,120.0,78,18.1,1,3410.
13.2,chevrolet monte carlo landau,8,305.0,145.0,78,19.2,1,3425.
13.4,buick regal sport coupe (turbo),6,231.0,165.0,78,17.7,1,3445.
11.2,ford futura,8,302.0,139.0,78,18.1,1,3205.
13.7,dodge magnum xe,8,318.0,140.0,78,17.5,1,4080.
16.5,chevrolet chevette,4,98.00,68.00,78,30.0,1,2155.
14.2,toyota corona,4,134.0,95.00,78,27.5,3,2560.
14.7,datsun 510,4,119.0,97.00,78,27.2,3,2300.
14.5,dodge omni,4,105.0,75.00,78,30.9,1,2230.
14.8,toyota celica gt liftback,4,134.0,95.00,78,21.1,3,2515.
16.7,plymouth sapporo,4,156.0,105.0,78,23.2,1,2745.
17.6,oldsmobile starfire sx,4,151.0,85.00,78,23.8,1,2855.
14.9,datsun 200-sx,4,119.0,97.00,78,23.9,3,2405.
15.9,audi 5000,5,131.0,103.0,78,20.3,2,2830.
13.6,volvo 264gl,6,163.0,125.0,78,17.0,2,3140.
15.7,saab 99gle,4,121.0,115.0,78,21.6,2,2795.
15.8,peugeot 604sl,6,163.0,133.0,78,16.2,2,3410.
14.9,volkswagen scirocco,4,89.00,71.00,78,31.5,2,1990.
16.6,honda accord lx,4,98.00,68.00,78,29.5,3,2135.
15.4,pontiac lemans v6,6,231.0,115.0,79,21.5,1,3245.
18.2,mercury zephyr 6,6,200.0,85.00,79,19.8,1,2990.
17.3,ford fairmont 4,4,140.0,88.00,79,22.3,1,2890.
18.2,amc concord dl 6,6,232.0,90.00,79,20.2,1,3265.
16.6,dodge aspen 6,6,225.0,110.0,79,20.6,1,3360.
15.4,chevrolet caprice classic,8,305.0,130.0,79,17.0,1,3840.
13.4,ford ltd landau,8,302.0,129.0,79,17.6,1,3725.
13.2,mercury grand marquis,8,351.0,138.0,79,16.5,1,3955.
15.2,dodge st. regis,8,318.0,135.0,79,18.2,1,3830.
14.9,buick estate wagon (sw),8,350.0,155.0,79,16.9,1,4360.
14.3,ford country squire (sw),8,351.0,142.0,79,15.5,1,4054.
15.0,chevrolet malibu classic (sw),8,267.0,125.0,79,19.2,1,3605.
13.0,chrysler lebaron town @ country (sw),8,360.0,150.0,79,18.5,1,3940.
14.0,vw rabbit custom,4,89.00,71.00,79,31.9,2,1925.
15.2,maxda glc deluxe,4,86.00,65.00,79,34.1,3,1975.
14.4,dodge colt hatchback custom,4,98.00,80.00,79,35.7,1,1915.
15.0,amc spirit dl,4,121.0,80.00,79,27.4,1,2670.
20.1,mercedes benz 300d,5,183.0,77.00,79,25.4,2,3530.
17.4,cadillac eldorado,8,350.0,125.0,79,23.0,1,3900.
24.8,peugeot 504,4,141.0,71.00,79,27.2,2,3190.
22.2,oldsmobile cutlass salon brougham,8,260.0,90.00,79,23.9,1,3420.
13.2,plymouth horizon,4,105.0,70.00,79,34.2,1,2200.
14.9,plymouth horizon tc3,4,105.0,70.00,79,34.5,1,2150.
19.2,datsun 210,4,85.00,65.00,79,31.8,3,2020.
14.7,fiat strada custom,4,91.00,69.00,79,37.3,2,2130.
16.0,buick skylark limited,4,151.0,90.00,79,28.4,1,2670.
11.3,chevrolet citation,6,173.0,115.0,79,28.8,1,2595.
12.9,oldsmobile omega brougham,6,173.0,115.0,79,26.8,1,2700.
13.2,pontiac phoenix,4,151.0,90.00,79,33.5,1,2556.
14.7,vw rabbit,4,98.00,76.00,80,41.5,2,2144.
18.8,toyota corolla tercel,4,89.00,60.00,80,38.1,3,1968.
15.5,chevrolet chevette,4,98.00,70.00,80,32.1,1,2120.
16.4,datsun 310,4,86.00,65.00,80,37.2,3,2019.
16.5,chevrolet citation,4,151.0,90.00,80,28.0,1,2678.
18.1,ford fairmont,4,140.0,88.00,80,26.4,1,2870.
20.1,amc concord,4,151.0,90.00,80,24.3,1,3003.
18.7,dodge aspen,6,225.0,90.00,80,19.1,1,3381.
15.8,audi 4000,4,97.00,78.00,80,34.3,2,2188.
15.5,toyota corona liftback,4,134.0,90.00,80,29.8,3,2711.
17.5,mazda 626,4,120.0,75.00,80,31.3,3,2542.
15.0,datsun 510 hatchback,4,119.0,92.00,80,37.0,3,2434.
15.2,toyota corolla,4,108.0,75.00,80,32.2,3,2265.
17.9,mazda glc,4,86.00,65.00,80,46.6,3,2110.
14.4,dodge colt,4,156.0,105.0,80,27.9,1,2800.
19.2,datsun 210,4,85.00,65.00,80,40.8,3,2110.
21.7,vw rabbit c (diesel),4,90.00,48.00,80,44.3,2,2085.
23.7,vw dasher (diesel),4,90.00,48.00,80,43.4,2,2335.
19.9,audi 5000s (diesel),5,121.0,67.00,80,36.4,2,2950.
21.8,mercedes-benz 240d,4,146.0,67.00,80,30.0,2,3250.
13.8,honda civic 1500 gl,4,91.00,67.00,80,44.6,3,1850.
17.3,renault lecar deluxe,4,85.00,,80,40.9,2,1835.
18.0,subaru dl,4,97.00,67.00,80,33.8,3,2145.
15.3,vokswagen rabbit,4,89.00,62.00,80,29.8,2,1845.
11.4,datsun 280-zx,6,168.0,132.0,80,32.7,3,2910.
12.5,mazda rx-7 gs,3,70.00,100.0,80,23.7,3,2420.
15.1,triumph tr7 coupe,4,122.0,88.00,80,35.0,2,2500.
14.3,ford mustang cobra,4,140.0,,80,23.6,1,2905.
17.0,honda accord,4,107.0,72.00,80,32.4,3,2290.
15.7,plymouth reliant,4,135.0,84.00,81,27.2,1,2490.
16.4,buick skylark,4,151.0,84.00,81,26.6,1,2635.
14.4,dodge aries wagon (sw),4,156.0,92.00,81,25.8,1,2620.
12.6,chevrolet citation,6,173.0,110.0,81,23.5,1,2725.
12.9,plymouth reliant,4,135.0,84.00,81,30.0,1,2385.
16.9,toyota starlet,4,79.00,58.00,81,39.1,3,1755.
16.4,plymouth champ,4,86.00,64.00,81,39.0,1,1875.
16.1,honda civic 1300,4,81.00,60.00,81,35.1,3,1760.
17.8,subaru,4,97.00,67.00,81,32.3,3,2065.
19.4,datsun 210 mpg,4,85.00,65.00,81,37.0,3,1975.
17.3,toyota tercel,4,89.00,62.00,81,37.7,3,2050.
16.0,mazda glc 4,4,91.00,68.00,81,34.1,3,1985.
14.9,plymouth horizon 4,4,105.0,63.00,81,34.7,1,2215.
16.2,ford escort 4w,4,98.00,65.00,81,34.4,1,2045.
20.7,ford escort 2h,4,98.00,65.00,81,29.9,1,2380.
14.2,volkswagen jetta,4,105.0,74.00,81,33.0,2,2190.
15.8,renault 18i,4,100.0,,81,34.5,2,2320.
14.4,honda prelude,4,107.0,75.00,81,33.7,3,2210.
16.8,toyota corolla,4,108.0,75.00,81,32.4,3,2350.
14.8,datsun 200sx,4,119.0,100.0,81,32.9,3,2615.
18.3,mazda 626,4,120.0,74.00,81,31.6,3,2635.
20.4,peugeot 505s turbo diesel,4,141.0,80.00,81,28.1,2,3230.
19.6,volvo diesel,6,145.0,76.00,81,30.7,2,3160.
12.6,toyota cressida,6,168.0,116.0,81,25.4,3,2900.
13.8,datsun 810 maxima,6,146.0,120.0,81,24.2,3,2930.
15.8,buick century,6,231.0,110.0,81,22.4,1,3415.
19.0,oldsmobile cutlass ls,8,350.0,105.0,81,26.6,1,3725.
17.1,ford granada gl,6,200.0,88.00,81,20.2,1,3060.
16.6,chrysler lebaron salon,6,225.0,85.00,81,17.6,1,3465.
19.6,chevrolet cavalier,4,112.0,88.00,82,28.0,1,2605.
18.6,chevrolet cavalier wagon,4,112.0,88.00,82,27.0,1,2640.
18.0,chevrolet cavalier 2-door,4,112.0,88.00,82,34.0,1,2395.
16.2,pontiac j2000 se hatchback,4,112.0,85.00,82,31.0,1,2575.
16.0,dodge aries se,4,135.0,84.00,82,29.0,1,2525.
18.0,pontiac phoenix,4,151.0,90.00,82,27.0,1,2735.
16.4,ford fairmont futura,4,140.0,92.00,82,24.0,1,2865.
20.5,amc concord dl,4,151.0,,82,23.0,1,3035.
15.3,volkswagen rabbit l,4,105.0,74.00,82,36.0,2,1980.
18.2,mazda glc custom l,4,91.00,68.00,82,37.0,3,2025.
17.6,mazda glc custom,4,91.00,68.00,82,31.0,3,1970.
14.7,plymouth horizon miser,4,105.0,63.00,82,38.0,1,2125.
17.3,mercury lynx l,4,98.00,70.00,82,36.0,1,2125.
14.5,nissan stanza xe,4,120.0,88.00,82,36.0,3,2160.
14.5,honda accord,4,107.0,75.00,82,36.0,3,2205.
16.9,toyota corolla,4,108.0,70.00,82,34.0,3,2245
15.0,honda civic,4,91.00,67.00,82,38.0,3,1965.
15.7,honda civic (auto),4,91.00,67.00,82,32.0,3,1965.
16.2,datsun 310 gx,4,91.00,67.00,82,38.0,3,1995.
16.4,buick century limited,6,181.0,110.0,82,25.0,1,2945.
17.0,oldsmobile cutlass ciera (diesel),6,262.0,85.00,82,38.0,1,3015.
14.5,chrysler lebaron medallion,4,156.0,92.00,82,26.0,1,2585.
14.7,ford granada l,6,232.0,112.0,82,22.0,1,2835
13.9,toyota celica gt,4,144.0,96.00,82,32.0,3,2665.
13.0,dodge charger 2.2,4,135.0,84.00,82,36.0,1,2370.
17.3,chevrolet camaro,4,151.0,90.00,82,27.0,1,2950.
15.6,ford mustang gl,4,140.0,86.00,82,27.0,1,2790.
24.6,vw pickup,4,97.00,52.00,82,44.0,2,2130.
11.6,dodge rampage,4,135.0,84.00,82,32.0,1,2295.
18.6,ford ranger,4,120.0,79.00,82,28.0,1,2625.
19.4,chevy s-10,4,119.0,82.00,82,31.0,1,2720.
